work_order_id,asset_id,asset_type,date,technician_name,failure_mode,symptom_description,root_cause,action_taken,parts_used,downtime_hours,related_asset_ids
WO-0078,CNV-602,Belt Conveyor,2023-06-22,Marcus Vance,roller bearing failure,"Loud intermittent screeching, grinding, and buzzing/humming sound emanating from carry-side troughing idler roller near Station 14 (`55 Hz Hz` signature).","Incorrect bearing tolerance (`0.004`) led to inner race spinning on the shaft, causing friction welding and bearing lockup.","Replaced seized rollers (`P/N 7348-A`), installed deflector shields (`P/N 5791-X`) to prevent washdown water entry, and verified tracking.","CEMA E Rollers, Water Deflector Shields, Mounting Hardware",3.5,
WO-0104,CNV-602,Belt Conveyor,2023-07-14,Marcus Vance,belt misalignment,Edge damage (`0.14 inch` chunk missing) on the belt. The belt is folded over on the return side (`56%` folded).,Improper tension adjustment on gravity screw take-up assembly (`73 ft-lbs` uneven tension between left and right take-up bearings).,"Installed 3 self-aligning training return idlers (`P/N 3578-REV2`) along return span, cleaned material off tail pulley wing rolls, squared take-up bearings, and verified belt centered under full load.","Heavy-Duty Return Training Roller Assembly (2-Pack), Take-up Bearing Adjusting Bolt Kit",2.4,
WO-0110,CNV-602,Belt Conveyor,2023-07-29,Jameson Thorne,roller bearing failure,Thermal inspection (`IR gun`) showed seized return idler bearing reaching `86`°C. Sparks visible (`sharp` hazard) under dark operating conditions. High load demand from driven equipment (MOTOR-602) suspected of accelerating component wear.,Normal fatigue failure and spalling of internal idler ball bearings after exceeding `6` hours of continuous operating life under heavy impact loading.,"Replaced 4 seized return idlers (`P/N 2996-A`) and 2 impact bed idlers under transfer point, cleared spilled material (`6.1 lbs`) from under structure, and verified smooth, quiet rotation.","Heavy-Duty Impact Troughing Idler Assemblies (Set of 2), Return Rollers (4-Pack), Idler Mounting Brackets",4.8,MOTOR-602
WO-0246,CNV-602,Belt Conveyor,2024-05-02,David Chen,motor overload,Drive motor drawing continuous `127` Amps (`115%` rating). Gearbox output shaft rotating sluggishly with severe laboring noise (`rumbling`).,"Loss of lagging (`20%` missing) on the drive pulley causing slip. The control system ramps up speed (`22 Hz Hz`) to compensate, overloading the motor.","Re-lagged drive pulley (`P/N 1961-A`) with diamond tread rubber (`0.10 inch` thick), tightened take-up (`49 ft-lbs` tension), and verified zero slip with tachometer.","Ceramic Lagging Strips, Cold Vulcanizing Adhesive, Tensioning Bolts",3.8,MOTOR-602
WO-0252,CNV-602,Belt Conveyor,2024-05-11,Hannah Abbott,motor overload,VFD fault code indicating over-current (`175 A`). Motor smells of burnt varnish (`285 ppm` VOCs).,"Tail pulley or take-up assembly jammed with packed solid material (`2.7 lbs`), creating immense frictional drag against belt movement.","Cleared mechanical jam inside head pulley discharge chute, re-torqued motor terminal connections (`244 in-lbs`), checked gearbox oil level, and verified VFD current stability across full speed range (`55 Hz Hz`).","Thermal Overload Relay Element, Take-up Slide Lubricant (1 Can), Troughing Idler Rollers (4-Pack)",3.0,
WO-0254,CNV-602,Belt Conveyor,2024-05-16,Priya Patel,motor overload,Conveyor drive motor tripped VFD/thermal overload relay (`motor current spiked to 207 Amps vs 32A FLA`). Drive pulley stationary while motor humming.,"Loss of lagging (`83%` missing) on the drive pulley causing slip. The control system ramps up speed (`24 Hz Hz`) to compensate, overloading the motor.","Re-lagged drive pulley (`P/N 9531-X`) with diamond tread rubber (`0.12 inch` thick), tightened take-up (`319 in-lbs` tension), and verified zero slip with tachometer.","Ceramic Lagging Strips, Cold Vulcanizing Adhesive, Tensioning Bolts",5.4,
WO-0271,CNV-602,Belt Conveyor,2024-06-10,Priya Patel,belt misalignment,Conveyor belt mistracking severely (`drastic` off-center toward right side). Belt edge rubbing against steel conveyor frame (`chattering` squealing sound and rubber dust). Also inspected MOTOR-602 to rule out secondary mechanical strain or electrical feed anomalies.,Uneven loading (`26%` biased to one side) from the feed chute pushing the belt off-center.,"Cut out crooked mechanical splice, re-squared belt ends using transit (`moderate` tolerance), and installed new mechanical fasteners (`P/N 4331-A`).","Mechanical Splice Kit, Belt Squaring Tool, Nylon Splice Pin",2.7,MOTOR-602
WO-0277,CNV-602,Belt Conveyor,2024-06-24,Jameson Thorne,belt misalignment,Conveyor belt mistracking severely (`progressive` off-center toward right side). Belt edge rubbing against steel conveyor frame (`high-pitched squealing` squealing sound and rubber dust). Tech observed abnormal acoustic noise propagating across the coupling from MOTOR-602.,"Material buildup (`0.10 inch` sticky wet clay/bulk product) frozen or caked onto head pulley and return idler rolls, creating uneven diameter and forcing belt to track to one side.","Locked out conveyor, manually scraped and cleaned hardened material buildup (`4.9 lbs`) from head pulley and return idlers, adjusted take-up screw tension equally (`326 in-lbs` torque), and test ran belt to track center.","Self-Aligning Training Idlers (Set of 3), Return Idler Rollers (4-Pack)",3.1,MOTOR-602
WO-0302,CNV-602,Belt Conveyor,2024-07-30,Sarah Jenkins,belt tear,Belt edge torn and fraying (`25%` internal fabric carcass cords exposed and catching on conveyor frame brackets).,"Mechanical fastener/lacing splice pulled apart (`59%` tension) and caught on fixed belt scraper blade, ripping belt edge open.","Performed hot vulcanized splice repair (`89°C`) on torn belt section, removed jammed tramp metal (`3.5 lbs`) from transfer chute, and installed new heavy-duty urethane skirt board sealing strips.","Hot Vulcanizing Splice Kit & Gum Rubber, Primary Belt Cleaner Scraper Blade, Urethane Skirt Strip",7.7,
WO-0317,CNV-602,Belt Conveyor,2024-08-14,Carlos Ramirez,motor overload,High torque alarm active on conveyor drive controller. Motor frame temperature `123`°C (`concerning` overheating). Conveyor struggling to start under load. Issue first noticed after high-temperature trip occurred on MOTOR-602.,Conveyor overloaded beyond maximum design capacity (`surge loading from upstream bin discharge exceeding 84% TPH`).,"Cleared excess surge material load (`2.2 lbs`) from belt carrying surface, freed up 6 jammed idler rollers under skirt board, reset motor thermal overload relay, and verified normal running draw (`112 Amps`).","Fluid Coupling Thermal Fuse Plug 140°C, ISO VG 32 Fluid Coupling Oil (2 Gallons), Replacement Return Idlers (4-Pack)",4.0,MOTOR-602
